날짜별 대여물품 재고,,,,,,,선택날짜
업데이트: 2026년 03월 07일,,,,,,,2026-01-30
,,,,,,,
분류,ID,품명,총 수량,출고예정,잔여재고,,
행사,1,천막,16,0,16,,
,2,모래주머니,60,0,60,,
,3,테이블,24,0,24,,
,4,듀라테이블,8,0,8,,
,5,의자,97,0,97,,
,6,야외용 투광판,2,0,2,,
,7,캠핑용 랜턴,10,0,10,,
,8,천막용 LED등,13,0,13,,
,9,설치형 전기 살충기,2,0,2,,
,10,돗자리,6,0,6,,
,11,안내판,2,0,2,,
체육,12,피구공,5,0,5,,
,13,축구공,1,0,1,,
,14,농구공,1,0,1,,
,15,대줄넘기,2,0,2,,
,16,줄다리기 줄,5,0,5,,
,17,전자휘슬,1,0,1,,
,18,족구네트,3,0,3,,
,19,에어펌프,2,0,2,,
,20,계주봉,5,0,5,,
,21,고깔,40,0,40,,
,22,아이스박스,2,0,2,,
음향기기,23,유선마이크,10,0,10,,
,24,무선마이크,15,0,15,,
,25,무선마이크(송수신기),4,0,4,,
,26,송수신기,2,0,2,,
,27,마이크스탠드,4,0,4,,
,28,대형 무선 앰프,6,0,6,,
,29,소형 무선 앰프,6,0,6,,
,30,야외용 무선 앰프,1,0,1,,
,31,기가폰,2,0,2,,
,32,Aux선(C타입),4,0,4,,
,33,Aux선(라이트닝),4,0,4,,
,34,Aux선(Aux),4,0,4,,
,35,확성기,1,0,1,,
기타,36,구르마(소형),4,0,4,,
,37,구르마(대형),5,0,5,,
,38,리드선,8,0,8,,
,39,의사봉,1,0,1,,
,40,이젤,5,0,5,,
,41,삼각대,5,0,5,,
,42,경광봉,11,0,11,,
,43,빔프로젝터,4,0,4,,
,44,빔스크린,1,0,1,,
,45,화이트보드,2,0,2,,
,46,몰카탐지기,8,0,8,,
,47,포토월,1,0,1,,
,48,촬영용 배경천 (녹),2,0,2,,
,49,촬영용 배경천 (백),2,0,2,,
,50,대용량 보조배터리,1,0,1,,
,51,폴라로이드 카메라,2,0,2,,
,52,명찰,255,0,255,,
,53,캠핑용 후레쉬,2,0,2,,
